"Techstack","Links"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular,.NET, SQL Server","https://example.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"
"Graphic Designer, Adobe Creative Suite, Illustrator","https://example.com/graphic-design-portfolio"
"Data Analyst, Python, Tableau","https://example.com/data-analytics-portfolio"
"UX Designer, Sketch, Figma","https://example.com/ux-design-portfolio"
"Digital Marketing Specialist, Google Analytics, Facebook Ads","https://example.com/digital-marketing-portfolio"
"Financial Analyst, Excel, Bloomberg Terminal","https://example.com/finance-portfolio"
"Human Resources Generalist, HRIS, Microsoft Office","https://example.com/hr-portfolio"
"Sales Representative, CRM, Salesforce","https://example.com/sales-portfolio"
"Operations Manager, Six Sigma, Trello","https://example.com/operations-portfolio"
"Supply Chain Manager, Logistics, SAP","https://example.com/supply-chain-portfolio"
"Event Planner, Eventbrite, Wedding Planner","https://example.com/event-planning-portfolio"
"Public Relations Specialist, Media Relations, Social Media","https://example.com/pr-portfolio"
"Accountant, QuickBooks, Xero","https://example.com/accounting-portfolio"
"Business Development Manager, CRM, LinkedIn","https://example.com/business-development-portfolio"
"Quality Assurance Engineer, Selenium, JIRA","https://example.com/qa-engineering-portfolio"
"Software Developer, Java, Spring Boot","https://example.com/software-development-portfolio"
"Project Manager, Agile, Scrum","https://example.com/project-management-portfolio"
"Digital Product Manager, Product Roadmap, A/B Testing","https://example.com/digital-product-portfolio"
"Content Writer, WordPress, HubSpot","https://example.com/content-writing-portfolio"
"Sales Engineer, AWS, Google Cloud","https://example.com/sales-engineering-portfolio"
"E-commerce Manager, Shopify, Magento","https://example.com/ecommerce-portfolio"
"Marketing Manager, Google Analytics, SEO","https://example.com/marketing-management-portfolio"
"Civil Engineer, Autodesk, Revit","https://example.com/civil-engineering-portfolio"
"Mechanical Engineer, SolidWorks, Finale","https://example.com/mechanical-engineering-portfolio"
"Aerospace Engineer, CAD, CATIA","https://example.com/aerospace-engineering-portfolio"
"Chemical Engineer, Aspen Plus, HYSYS","https://example.com/chemical-engineering-portfolio"
"Industrial Engineer, Minitab, Excel","https://example.com/industrial-engineering-portfolio"
"Biomedical Engineer, Ansys, SolidEdge","https://example.com/biomedical-engineering-portfolio"
"Environmental Engineer, GIS, ArcGIS","https://example.com/environmental-engineering-portfolio"
"Electrical Engineer, PSpice, KiCad","https://example.com/electrical-engineering-portfolio"
"Computer Science Teacher, Python, Java","https://example.com/computer-science-teaching-portfolio"
"Math Teacher, Calculus, Statistics","https://example.com/math-teaching-portfolio"
"Physics Teacher, Java, Python","https://example.com/physics-teaching-portfolio"
"Chemistry Teacher, Excel, ChemDraw","https://example.com/chemistry-teaching-portfolio"
"Biology Teacher, Excel, PCR","https://example.com/biology-teaching-portfolio"
"Psychology Teacher, R, SPSS","https://example.com/psychology-teaching-portfolio"
"Marketing Teacher, Google Analytics, Excel","https://example.com/marketing-teaching-portfolio"
"Business Teacher, Excel, Accounting","https://example.com/business-teaching-portfolio"
"Accounting Teacher, QuickBooks, Xero","https://example.com/accounting-teaching-portfolio"
"Biologist, R, Bioconductor","https://example.com/biology-research-portfolio"
"Clinical Research Coordinator, Excel, FDA Regulations","https://example.com/clinical-research-coordinating-portfolio"
"Nurse Practitioner, Epic, Cerner","https://example.com/nurse-practitioner-portfolio"
"Pharmacist, PharmScript, CVS","https://example.com/pharmacy-portfolio"
"Lawyer, Legal Research, Trial Advocacy","https://example.com/law-portfolio"
"IT Manager, ITIL, Network Administration","https://example.com/it-management-portfolio"
"Cloud Computing Engineer, AWS, Azure","https://example.com/cloud-engineering-portfolio"
"Network Engineer, Cisco, Juniper","https://example.com/network-engineering-portfolio"
"Database Administrator, MySQL, Oracle","https://example.com/database-administration-portfolio"
"System Administrator, Windows, Linux","https://example.com/system-administration-portfolio"
